yrs.since.phd,yrs.service,salary
19,18,139750
20,16,173200
4,3,79750
45,39,115000
40,41,141500
6,6,97000
30,23,175000
45,45,147765
21,20,119250
18,18,129000
12,8,119800
7,2,79800
1,1,77700
2,0,78000
20,18,104800
12,3,117150
19,20,101000
38,34,103450
37,23,124750
39,36,137000
31,26,89565
36,31,102580
34,30,93904
24,19,113068
13,8,74830
21,8,106294
35,23,134885
5,3,82379
11,0,77000
12,8,118223
20,4,132261
7,2,79916
13,9,117256
4,2,80225
4,2,80225
5,0,77000
22,21,155750
7,4,86373
41,31,125196
9,9,100938
23,2,146500
23,23,93418
40,27,101299
38,38,231545
19,19,94384
25,15,114778
40,28,98193
23,19,151768
25,25,140096
1,1,70768
28,28,126621
12,11,108875
11,3,74692
16,9,106639
12,11,103760
14,5,83900
23,21,117704
9,8,90215
10,9,100135
8,3,75044
9,8,90304
3,2,75243
33,31,109785
11,11,103613
4,3,68404
9,8,100522
22,12,101000
35,31,99418
17,17,111512
28,36,91412
17,2,126320
45,45,146856
29,19,100131
35,34,92391
28,23,113398
8,3,73266
17,3,150480
26,19,193000
3,1,86100
6,2,84240
43,28,150743
17,16,135585
22,20,144640
6,2,88825
17,18,122960
15,14,132825
37,37,152708
2,2,88400
25,25,172272
9,7,107008
10,5,97032
10,7,105128
10,7,105631
38,38,166024
21,20,123683
4,0,84000
17,12,95611
13,7,129676
30,14,102235
41,26,106689
42,25,133217
28,23,126933
16,5,153303
20,14,127512
18,10,83850
31,28,113543
11,8,82099
10,8,82600
15,8,81500
40,31,131205
20,16,112429
19,16,82100
3,1,72500
37,37,104279
12,0,105000
21,9,120806
30,29,148500
39,36,117515
4,1,72500
5,3,73500
14,14,115313
32,32,124309
24,22,97262
25,22,62884
24,22,96614
54,49,78162
28,26,155500
2,0,72500
32,30,113278
4,2,73000
11,9,83001
56,57,76840
10,8,77500
3,1,72500
35,25,168635
20,18,136000
16,14,108262
17,14,105668
10,7,73877
21,18,152664
14,8,100102
15,10,81500
19,11,106608
3,3,89942
27,27,112696
28,28,119015
4,4,92000
27,27,156938
36,26,144651
4,3,95079
14,12,128148
4,4,92000
21,9,111168
12,10,103994
4,0,92000
21,21,118971
12,18,113341
1,0,88000
6,6,95408
15,16,137167
2,2,89516
26,19,176500
22,7,98510
3,3,89942
1,0,88795
21,8,105890
16,16,167284
18,19,130664
8,6,101210
25,18,181257
5,5,91227
19,19,151575
37,24,93164
20,20,134185
17,6,105000
28,25,111751
10,7,95436
13,9,100944
27,14,147349
3,3,92000
11,11,142467
18,5,141136
8,8,100000
26,22,150000
23,23,101000
33,30,134000
13,10,103750
18,10,107500
28,28,106300
25,19,153750
22,9,180000
43,22,133700
19,18,122100
19,19,86250
48,53,90000
9,7,113600
4,4,92700
4,4,92000
34,33,189409
38,22,114500
4,4,92700
40,40,119700
28,17,160400
17,17,152500
19,5,165000
21,2,96545
35,33,162200
18,18,120000
7,2,91300
20,20,163200
4,3,91000
39,39,111350
15,7,128400
26,19,126200
11,1,118700
16,11,145350
15,11,146000
29,22,105350
14,7,109650
13,11,119500
21,21,170000
23,10,145200
13,6,107150
34,20,129600
38,35,87800
20,20,122400
3,1,63900
9,7,70000
16,11,88175
39,38,133900
29,27,91000
26,24,73300
38,19,148750
36,19,117555
8,3,69700
28,17,81700
25,25,114000
7,6,63100
46,40,77202
19,6,96200
5,3,69200
31,30,122875
38,37,102600
23,23,108200
19,23,84273
17,11,90450
30,23,91100
21,18,101100
28,23,128800
29,7,204000
39,39,109000
20,8,102000
31,12,132000
4,2,77500
28,7,116450
12,8,83000
22,22,140300
30,23,74000
9,3,73800
32,30,92550
41,33,88600
45,45,107550
31,26,121200
31,31,126000
37,35,99000
36,30,134800
43,43,143940
14,10,104350
47,44,89650
13,7,103700
42,40,143250
42,18,194800
4,1,73000
8,4,74000
8,3,78500
12,6,93000
52,48,107200
31,27,163200
24,18,107100
46,46,100600
39,38,136500
37,27,103600
51,51,57800
45,43,155865
8,6,88650
49,49,81800
28,27,115800
2,0,85000
29,27,150500
8,5,74000
33,7,174500
32,28,168500
39,9,183800
11,1,104800
19,7,107300
40,36,97150
18,18,126300
17,11,148800
49,43,72300
45,39,70700
39,36,88600
27,16,127100
28,13,170500
14,4,105260
46,44,144050
33,31,111350
7,4,74500
31,28,122500
5,0,74000
22,15,166800
20,7,92050
14,9,108100
29,19,94350
35,35,100351
22,6,146800
6,3,84716
12,9,71065
46,45,67559
16,16,134550
16,15,135027
24,23,104428
9,9,95642
13,11,126431
24,15,161101
30,31,162221
8,4,84500
23,15,124714
37,37,151650
10,10,99247
23,23,134778
49,60,192253
20,9,116518
18,10,105450
33,19,145098
19,6,104542
36,38,151445
35,23,98053
13,12,145000
32,25,128464
37,15,137317
13,11,106231
17,17,124312
38,38,114596
31,31,162150
32,35,150376
15,10,107986
41,27,142023
39,33,128250
4,3,80139
27,28,144309
56,49,186960
38,38,93519
26,27,142500
22,20,138000
8,1,83600
25,21,145028
49,40,88709
39,35,107309
28,14,109954
11,4,78785
14,11,121946
23,15,109646
30,30,138771
20,17,81285
43,43,205500
43,40,101036
15,10,115435
10,1,108413
35,30,131950
33,31,134690
13,8,78182
23,20,110515
12,7,109707
30,26,136660
27,19,103275
28,26,103649
4,1,74856
6,3,77081
38,38,150680
11,8,104121
8,3,75996
27,23,172505
8,5,86895
44,44,105000
27,21,125192
15,9,114330
29,27,139219
29,15,109305
38,36,119450
33,18,186023
40,19,166605
30,19,151292
33,30,103106
31,19,150564
42,25,101738
25,15,95329
8,4,81035
